source,title,summary,link,published,sentiment,umap1,umap2
AP news,Japan leader expresses sympathy for Korean colonial victims,"<p>SEOUL, South Korea (AP) — Japan’s prime minister expressed sympathy for the suffering of Korean forced laborers during Japan’s colonial rule, as he and his South Korean counterpart Sunday renewed their resolve to overcome historical grievances and strengthen cooperation in the face of shared challenges such as North Korea’s nuclear program.</p>",https://apnews.com/article/south-korea-japan-yoon-kishida-history-135badc84df0b545f44edcb2b86921fe,"Mon, 08 May 2023 00:32:57 -0000",neutral,16.395803,-2.4950652
AP news,Satellite images show tankers Iran seized off Bandar Abbas,"<p>DUBAI, United Arab Emirates (AP) — Two oil tankers recently seized by Iran are anchored off the coast of one of its key port cities on the strategic Strait of Hormuz, according to satellite photos analyzed by The Associated Press on Sunday.</p>",https://apnews.com/article/iran-seized-tankers-persian-gulf-tensions-f9f7f2c267cc6b7b65a655edc8e6a7e8,"Sun, 07 May 2023 23:03:42 -0000",neutral,15.904781,-2.019656
AP news,"Ukraine farmers surrounded by risks, from mines to logistics","<p>POTIOMKYNE, Ukraine (AP) — A grassy lane rutted with tire tracks leads to Volodymyr Zaiets’ farm in southern Ukraine. He is careful, driving only within those shallow grooves — veering away might cost him his life in the field dotted with explosive mines.</p>",https://apnews.com/article/ukraine-russia-war-grain-farmers-food-a9df0827d8009c3fef347378061f9dd7,"Sun, 07 May 2023 15:50:53 -0000",negative,14.860535,-2.320089
AP news,Czech opera singer Soňa Červená dies at age 97,"<p>PRAGUE (AP) — Soňa Červená, a Czech opera singer who became known for playing Carmen and more than 110 roles in San Francisco and other opera houses behind the Iron Curtain, has died. She was 97.</p>
<p>Červená died Sunday at a hospital in the Czech capital where she was being treated for an unspecified illness, the National Theater in Prague said.</p>",https://apnews.com/article/czech-opera-singer-soa-ervena-obituary-509bdcbc94a720a61c41a17aec908f70,"Sun, 07 May 2023 10:51:45 -0000",neutral,13.815926,-1.7692467
AP news,"AP Month in Pictures: Middle East, Afghanistan and Pakistan","<p>TEL AVIV, Israel (AP) — Israeli authorities released a Jordanian lawmaker to his home country on Sunday, Israel's domestic security agency said, after he allegedly tried smuggling dozens of rifles and handguns through an Israeli-controlled border crossing.</p>",https://apnews.com/article/israel-jordan-guns-arms-smuggling-lawmaker-f632ef3be3adafdd34d161777f074e94,"Sun, 07 May 2023 10:38:19 -0000",neutral,14.492404,-1.2034031
AP news,Israel releases Jordan lawmaker said to have smuggled guns,"<p>WASHINGTON (AP) — First lady Jill Biden, who represented the United States at Saturday's coronation of Britain's King Charles III, said there was “such beauty in the pageantry of the ceremony” and it was “just amazing to see.”</p>",https://apnews.com/article/jill-biden-king-charles-coronation-c008d20195c6b34ee299c9c58b322e3e,"Sun, 07 May 2023 09:50:20 -0000",negative,13.328093,-1.4655036
AP news,Jill Biden: Charles’ coronation was ‘just amazing to see’,"<p>King Charles III was crowned at Westminster Abbey, receiving the bejeweled St. Edward’s Crown in a ceremony built on ancient tradition at a time when the monarchy is striving to remain relevant in a fractured modern Britain. Trumpets sounded inside the medieval abbey and the congregation shouted “God save the king!” at a ceremony attended by more than 2,000 guests, including world leaders, aristocrats and celebrities.</p>",https://apnews.com/article/king-charles-iii-coronation-westminster-abbey-britain-a4f05b3d7413521c439348684fd7a782,"Sun, 07 May 2023 01:43:34 -0000",positive,14.944868,-0.72805476
AP news,"King Charles III crowned with regal pomp, cheers and shrugs","<p>LONDON (AP) — A horse-drawn golden carriage. The sound of choristers and trumpeters filling Westminster Abbey. Hundreds of Coldstream Guards throwing their bearskin hats into the air and shouting “hip, hip hooray!” Pop stars, young and old.</p>",https://apnews.com/article/king-charles-coronation-photo-gallery-7b5cddc23c69f3cf8d0f7198d027f5e3,"Sat, 06 May 2023 19:41:09 -0000",positive,14.95344,-0.68831974
AP news,"AP PHOTOS: Pageantry, rain herald King Charles’ coronation","<p>LONDON (AP) — The Latest on the coronation of King Charles III:</p>
<p>London’s police force says officers made a total of 52 arrests on coronation day, with people being detained for alleged offenses including disrupting public order and conspiracy to cause a public nuisance.</p>",https://apnews.com/article/king-charles-coronation-live-updates-d0566e3fa36e01e67e642061d3f9014e,"Sat, 06 May 2023 19:35:55 -0000",neutral,14.908736,-0.6893756
AP news,Coronation Live | King Charles III crowned king,"<p>LONDON (AP) — Being there is better.</p>
<p>I didn’t see much of the coronation of King Charles III and neither did many of the 2,300 or so other guests inside Westminster Abbey.</p>",https://apnews.com/article/king-charles-iii-britain-coronation-inside-westminster-abbey-96dfe80a71394113204f7ab081f766ba,"Sat, 06 May 2023 19:22:28 -0000",neutral,14.930124,-0.687106
AP news,Feeling is believing: Inside the abbey for king’s coronation,"<p>TEL AVIV, Israel (AP) — Tens of thousands of Israelis gathered Saturday for a demonstration against a contentious government plan to overhaul the judiciary, demanding the changes to be scrapped rather than delayed.</p>",https://apnews.com/article/israel-netanyahu-protests-legal-plans-judiciary-453e441c5d2618cb577c9a2da1ce2dc1,"Sat, 06 May 2023 19:09:22 -0000",neutral,14.915937,-0.6553074
AP news,Thousands of Israelis protest government legal change plans,"<p>DUBAI, United Arab Emirates (AP) — Iran executed an Iranian-Swedish dual national Saturday accused of masterminding a 2018 attack on a military parade that killed at least 25 people, one of several enemies of Tehran seized abroad in recent years amid tensions with the West.</p>",https://apnews.com/article/iran-execution-deadly-attack-parade-acd9dd6ceecf28ad48e6d52e722185a4,"Sat, 06 May 2023 18:06:46 -0000",negative,13.526864,-1.5159143
AP news,Iran hangs Iranian-Swedish man over 2018 attack killing 25,"<p>Ukraine’s air force claims to have downed a Russian hypersonic missile over Kyiv using newly acquired American Patriot defense systems, the first known time the country has been able to intercept one of Moscow’s most modern missiles.</p>",https://apnews.com/article/russia-ukraine-war-patriot-kinzhal-6b59af8e60853b4d6d16dd8d607768be,"Sat, 06 May 2023 18:02:51 -0000",negative,15.569552,-2.0001676
AP news,Ukraine downs Russian hypersonic missile with US Patriot,"<p>BELGRADE, Serbia (AP) — Heart-wrenching cries echoed as funerals were held in Serbia on Saturday for some of the victims of two mass shootings that happened just a day apart this week, leaving 17 people dead and 21 wounded, many of them children.</p>",https://apnews.com/article/serbia-funerals-shootings-49dec112f7c8cc7b5b514cc8447a4e09,"Sat, 06 May 2023 16:51:46 -0000",neutral,13.788817,-2.7232745
AP news,Burials held in Serbia for some victims of mass shootings,"<p>RAMALLAH, West Bank (AP) — Israeli forces shot dead two Palestinians during a military raid in the occupied West Bank on Saturday, the Palestinian Health Ministry said. A local armed group said the pair were militants.</p>",https://apnews.com/article/israel-palestinians-army-raid-west-bank-4f72636ea6f9eef3a177396d03776d48,"Sat, 06 May 2023 16:38:31 -0000",negative,15.655519,-3.4083784
AP news,Israeli army kills 2 Palestinians in West Bank raid,"<p>LONDON (AP) — King Charles III’s coronation is a chance to unite people with the history and pageantry of the monarchy, but those traditions are also full of potential controversies as he tries to show that the monarchy still has a role to play in modern Britain.</p>",https://apnews.com/article/king-charles-coronation-artifacts-9e366656606b0a7902381ba3e9a3205d,"Sat, 06 May 2023 08:49:24 -0000",negative,13.118698,-1.5960988
AP news,5 things to look for during King Charles III’s coronation,"<p>TOKYO (AP) — A strong, shallow earthquake hit central Japan on Friday afternoon, killing at least one person and injuring more than 20 others and disrupting plans for holidaymakers.</p>
<p>The magnitude 6.2 quake struck Ishikawa prefecture on the west coast of Japan's main island of Honshu, the U.S.</p>",https://apnews.com/article/strong-earthquake-japan-ishikawa-b3fea7516c5eccfe6ab4db7131a626a0,"Sat, 06 May 2023 06:22:54 -0000",neutral,14.941256,-0.7118129
AP news,"Strong quake in central Japan; 1 dead, more than 20 injured","<p>BUENOS AIRES, Argentina (AP) — Paraguayan police on Friday detained Paraguayo Cubas, a far-right populist who came in third in Sunday’s presidential election and encouraged his supporters to protest over his unsubstantiated claims that the vote was marred by fraud.</p>",https://apnews.com/article/cubas-paraguayo-paraguay-crusade-a7e4db52d27fc14355571a0abcc0dd96,"Sat, 06 May 2023 04:26:19 -0000",negative,16.256212,-2.7589276
AP news,Paraguay far-right populist presidential candidate arrested,"<p>BELGRADE, Serbia (AP) — The first shooting left Serbia weeping. The second set off waves of soul-searching in a deeply divided nation, awash in weaponry, where war criminals are glorified and memories run deep of years of civil war.</p>",https://apnews.com/article/serbia-shootings-belgrade-mladenovac-guns-2e7d1ccb3c2bca32331f12bb29efe7f1,"Sat, 06 May 2023 03:04:34 -0000",neutral,15.527654,-3.3227572
AP news,"AP-Week in Pictures: Global / April 29 - May 5, 2023",<p>LONDON (AP) — The United Kingdom's royal family turns the page on a new chapter Saturday with the coronation of King Charles III — a spectacle that echoes medieval times but features modern flourishes.</p>,https://apnews.com/article/coronation-king-charles-queen-elizabeth-57485899e7a3ad8df0909f8e58599f75,"Sat, 06 May 2023 01:14:53 -0000",neutral,14.38523,-0.72390586
AP news,"2 mass shootings in 2 days plunge Serbia into shock, dismay","<p>LONDON (AP) — Britain’s Conservative Party endured a drubbing from voters Friday in local elections that delivered a warning to Prime Minister Rishi Sunak ’s government, and a boost to the opposition, as a national election approaches.</p>",https://apnews.com/article/uk-local-elections-conservatives-labour-id-96960b99ef0f4b0f22edfcb3dee5e66d,"Fri, 05 May 2023 20:19:43 -0000",negative,15.736328,-2.9426532
Astral Codex Ten,Open Thread 275,...,https://astralcodexten.substack.com/p/open-thread-275,"Mon, 08 May 2023 07:43:44 GMT",neutral,14.777386,1.063825
Astral Codex Ten,Berkeley Meetup This Saturday,...,https://astralcodexten.substack.com/p/berkeley-meetup-this-saturday-27e,"Fri, 05 May 2023 23:40:27 GMT",neutral,14.535809,1.2390145
Astral Codex Ten,Hidden Open Thread 274.5,...,https://astralcodexten.substack.com/p/hidden-open-thread-2745,"Thu, 04 May 2023 01:06:23 GMT",neutral,14.772769,1.0502728
Astral Codex Ten,Raise Your Threshold For Accusing People Of Faking Bisexuality,...,https://astralcodexten.substack.com/p/raise-your-threshold-for-accusing,"Thu, 04 May 2023 00:32:40 GMT",neutral,14.633367,1.860476
Astral Codex Ten,Replication Attempt: Bisexuality And Long COVID,...,https://astralcodexten.substack.com/p/replication-attempt-bisexuality-and,"Wed, 03 May 2023 06:44:46 GMT",neutral,14.060504,1.5441709
Astral Codex Ten,Change My Mind: Density Increases Local But Decreases Global Prices,...,https://astralcodexten.substack.com/p/change-my-mind-density-increases,"Mon, 01 May 2023 20:02:45 GMT",neutral,18.316814,0.34210306
Astral Codex Ten,Open Thread 274,...,https://astralcodexten.substack.com/p/open-thread-274,"Mon, 01 May 2023 01:09:15 GMT",neutral,14.787748,1.0366199
Astral Codex Ten,The Psychology Of Fantasy,...,https://astralcodexten.substack.com/p/the-psychology-of-fantasy,"Fri, 28 Apr 2023 08:57:39 GMT",neutral,15.048446,1.9688097
Astral Codex Ten,Highlights From The Comments On Nerds And Hipsters,...,https://astralcodexten.substack.com/p/highlights-from-the-comments-on-nerds,"Thu, 27 Apr 2023 08:31:43 GMT",neutral,14.155298,-0.26937354
Astral Codex Ten,Mantic Monday 4/24/23,Using AIs to forecast // Low-information priors // Abortion pill access,https://astralcodexten.substack.com/p/mantic-monday-42423,"Tue, 25 Apr 2023 05:46:04 GMT",neutral,14.850027,1.140578
Astral Codex Ten,Open Thread 273,...,https://astralcodexten.substack.com/p/open-thread-273,"Mon, 24 Apr 2023 07:09:01 GMT",neutral,14.751489,1.0220947
Astral Codex Ten,Hidden Open Thread 272.5,...,https://astralcodexten.substack.com/p/hidden-open-thread-2725,"Fri, 21 Apr 2023 20:04:30 GMT",neutral,14.805456,1.01749
Astral Codex Ten,Links For April 2023,...,https://astralcodexten.substack.com/p/links-for-april-2023,"Thu, 20 Apr 2023 04:38:09 GMT",neutral,14.123183,-0.69697106
Astral Codex Ten,Contra Kriss On Nerds And Hipsters,...,https://astralcodexten.substack.com/p/contra-kriss-on-nerds-and-hipsters,"Wed, 19 Apr 2023 03:47:59 GMT",neutral,13.629648,-0.22588411
Astral Codex Ten,Highlights From The Comments On IRBs,...,https://astralcodexten.substack.com/p/highlights-from-the-comments-on-irbs,"Mon, 17 Apr 2023 23:10:41 GMT",neutral,14.881725,0.30203363
Astral Codex Ten,Open Thread 272,...,https://astralcodexten.substack.com/p/open-thread-272,"Mon, 17 Apr 2023 09:02:29 GMT",neutral,14.781694,1.0911945
Astral Codex Ten,Book Review: From Oversight To Overkill,...,https://astralcodexten.substack.com/p/book-review-from-oversight-to-overkill,"Wed, 12 Apr 2023 00:08:25 GMT",neutral,15.765786,-0.38854617
Astral Codex Ten,Spring Meetups Everywhere 2023,...,https://astralcodexten.substack.com/p/spring-meetups-everywhere-2023,"Mon, 10 Apr 2023 19:43:26 GMT",neutral,13.93487,-0.62731737
Astral Codex Ten,Open Thread 271,...,https://astralcodexten.substack.com/p/open-thread-271,"Sun, 09 Apr 2023 20:09:08 GMT",neutral,14.767577,1.0560673
Astral Codex Ten,Book Review: The Arctic Hysterias,...,https://astralcodexten.substack.com/p/book-review-the-arctic-hysterias,"Thu, 06 Apr 2023 18:25:31 GMT",neutral,15.316511,-1.3934715
Bloomberg,"Too Much Info: The Bloomberg Close, Asia Edition - Bloomberg","<a href=""https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9uZXdzbGV0dGVycy8yMDIzLTA1LTA4L3Rvby1tdWNoLWluZm8tdGhlLWJsb29tYmVyZy1jbG9zZS1hc2lhLWVkaXRpb27SAQA?oc=5"" target=""_blank"">Too Much Info: The Bloomberg Close, Asia Edition</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bloomberg</font>",https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9uZXdzbGV0dGVycy8yMDIzLTA1LTA4L3Rvby1tdWNoLWluZm8tdGhlLWJsb29tYmVyZy1jbG9zZS1hc2lhLWVkaXRpb27SAQA?oc=5,"Mon, 08 May 2023 08:00:12 GMT",neutral,17.591494,-1.014103
Bloomberg,Energy Crisis: South Africa Lets the Markets Work - Bloomberg,"<a href=""https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vb3Bpbmlvbi9hcnRpY2xlcy8yMDIzLTA1LTA3L2VuZXJneS1jcmlzaXMtc291dGgtYWZyaWNhLWxldHMtdGhlLW1hcmtldHMtd29ya9IBAA?oc=5"" target=""_blank"">Energy Crisis: South Africa Lets the Markets Work</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bloomberg</font>",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vb3Bpbmlvbi9hcnRpY2xlcy8yMDIzLTA1LTA3L2VuZXJneS1jcmlzaXMtc291dGgtYWZyaWNhLWxldHMtdGhlLW1hcmtldHMtd29ya9IBAA?oc=5,"Sun, 07 May 2023 22:04:04 GMT",neutral,17.605612,-0.83893424
Bloomberg,Binance Restarts Withdrawals of Bitcoin After Second Halt - Bloomberg,"<a href=""https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTA1LTA4L2JpbmFuY2UtYWdhaW4tcGF1c2VzLWJpdGNvaW4td2l0aGRyYXdhbHMtY2l0ZXMtY2xvZ2dlZC1uZXR3b3Jr0gEA?oc=5"" target=""_blank"">Binance Restarts Withdrawals of Bitcoin After Second Halt</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bloomberg</font>",https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTA1LTA4L2JpbmFuY2UtYWdhaW4tcGF1c2VzLWJpdGNvaW4td2l0aGRyYXdhbHMtY2l0ZXMtY2xvZ2dlZC1uZXR3b3Jr0gEA?oc=5,"Mon, 08 May 2023 08:25:26 GMT",neutral,18.483654,-2.6667082
Bloomberg,Five Things You Need to Know to Start Your Day - Bloomberg,"<a href=""https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9uZXdzbGV0dGVycy8yMDIzLTA1LTA3L2ZpdmUtdGhpbmdzLXlvdS1uZWVkLXRvLWtub3ctdG8tc3RhcnQteW91ci1kYXnSAQA?oc=5"" target=""_blank"">Five Things You Need to Know to Start Your Day</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bloomberg</font>",https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9uZXdzbGV0dGVycy8yMDIzLTA1LTA3L2ZpdmUtdGhpbmdzLXlvdS1uZWVkLXRvLWtub3ctdG8tc3RhcnQteW91ci1kYXnSAQA?oc=5,"Sun, 07 May 2023 23:48:39 GMT",positive,16.576763,-0.9063603
Bloomberg,AI Computer Chips Are the Next Big Market for Tech (NVDA; INTC) - Bloomberg,"<a href=""https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTA1LTA4L2FpLWNvbXB1dGVyLWNoaXBzLWFyZS10aGUtbmV4dC1iaWctbWFya2V0LWZvci10ZWNoLW52ZGEtaW50Y9IBAA?oc=5"" target=""_blank"">AI Computer Chips Are the Next Big Market for Tech (NVDA; INTC)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bloomberg</font>",https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTA1LTA4L2FpLWNvbXB1dGVyLWNoaXBzLWFyZS10aGUtbmV4dC1iaWctbWFya2V0LWZvci10ZWNoLW52ZGEtaW50Y9IBAA?oc=5,"Mon, 08 May 2023 08:00:09 GMT",positive,17.421782,0.8692701
Bloomberg,Yellen and Sullivan Speeches Likely Won’t Assuage US-China ... - Bloomberg,"<a href=""https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTA1LTA4L3llbGxlbi1zLWc3LWNvbW1lbnRzLWxpa2VseS13b24tdC1hc3N1YWdlLXVzLWNoaW5hLXRlbnNpb25z0gEA?oc=5"" target=""_blank"">Yellen and Sullivan Speeches Likely Won’t Assuage US-China ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bloomberg</font>",https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTA1LTA4L3llbGxlbi1zLWc3LWNvbW1lbnRzLWxpa2VseS13b24tdC1hc3N1YWdlLXVzLWNoaW5hLXRlbnNpb25z0gEA?oc=5,"Mon, 08 May 2023 08:00:11 GMT",neutral,18.095133,-0.57570463
Bloomberg,Grifols Gives Chairman More Power in New Bid to Boost Confidence - Bloomberg,"<a href=""https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTA1LTA4L2dyaWZvbHMtZ2l2ZXMtY2hhaXJtYW4tbW9yZS1wb3dlci1pbi1uZXctYmlkLXRvLWJvb3N0LWNvbmZpZGVuY2XSAQA?oc=5"" target=""_blank"">Grifols Gives Chairman More Power in New Bid to Boost Confidence</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bloomberg</font>",https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTA1LTA4L2dyaWZvbHMtZ2l2ZXMtY2hhaXJtYW4tbW9yZS1wb3dlci1pbi1uZXctYmlkLXRvLWJvb3N0LWNvbmZpZGVuY2XSAQA?oc=5,"Mon, 08 May 2023 07:10:40 GMT",positive,19.306877,-1.2896152
Bloomberg,"Coinbase Weighs UAE as Potential International Hub, CEO Says - Bloomberg","<a href=""https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTA1LTA4L3VhZS1hcHByb2FjaC10by1jcnlwdG8tbW9yZS1mb3J3YXJkLXRoaW5raW5nLXRoYW4tdXMtY29pbmJhc2XSAQA?oc=5"" target=""_blank"">Coinbase Weighs UAE as Potential International Hub, CEO Says</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bloomberg</font>",https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTA1LTA4L3VhZS1hcHByb2FjaC10by1jcnlwdG8tbW9yZS1mb3J3YXJkLXRoaW5raW5nLXRoYW4tdXMtY29pbmJhc2XSAQA?oc=5,"Mon, 08 May 2023 11:29:41 GMT",neutral,18.15187,-1.7970238
Bloomberg,Stocks Slip as Big Tech Weighs; Bond Yields Rise: Markets Wrap - Bloomberg,"<a href=""https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTA1LTA3L2FzaWFuLXNoYXJlcy10by1yaXNlLWFmdGVyLXVzLWZpbmFuY2lhbHMtcmVib3VuZC1tYXJrZXRzLXdyYXDSAQA?oc=5"" target=""_blank"">Stocks Slip as Big Tech Weighs; Bond Yields Rise: Markets Wrap</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bloomberg</font>",https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTA1LTA3L2FzaWFuLXNoYXJlcy10by1yaXNlLWFmdGVyLXVzLWZpbmFuY2lhbHMtcmVib3VuZC1tYXJrZXRzLXdyYXDSAQA?oc=5,"Sun, 07 May 2023 22:16:19 GMT",neutral,18.592789,-0.7460649
Bloomberg,"Goldman Sees Family Offices Beefing Up on Stocks, Private Equity - Bloomberg","<a href=""https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTA1LTA4L2dvbGRtYW4tc2Vlcy1mYW1pbHktb2ZmaWNlcy1iZWVmaW5nLXVwLW9uLXN0b2Nrcy1wcml2YXRlLWVxdWl0edIBAA?oc=5"" target=""_blank"">Goldman Sees Family Offices Beefing Up on Stocks, Private Equity</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bloomberg</font>",https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTA1LTA4L2dvbGRtYW4tc2Vlcy1mYW1pbHktb2ZmaWNlcy1iZWVmaW5nLXVwLW9uLXN0b2Nrcy1wcml2YXRlLWVxdWl0edIBAA?oc=5,"Mon, 08 May 2023 11:00:00 GMT",neutral,19.850021,-1.3921697
